Date,Actual,SARIMA Forecast
2018-01-01,43476.474,27975.79626378839
2018-02-01,19920.9974,34827.15592324296
2018-03-01,58863.4128,63496.319660188725
2018-04-01,35541.9101,49788.56253813771
2018-05-01,43825.9822,68264.67259174206
2018-06-01,48190.7277,51284.73117434759
2018-07-01,44825.104,49491.18279278356
2018-08-01,62837.848,40827.46137624199
2018-09-01,86152.888,80801.96730075944
2018-10-01,77448.1312,71137.52236037252
2018-11-01,117938.155,90369.0668129451
2018-12-01,83030.3888,107464.4237715423
